time,price,amount,bid_price,ask_price
9124516,141050,2,141030,141050
9124516,141060,3,141030,141060
9124518,141060,1,141060,141090
9124544,141070,1,141070,141090
9124547,141070,1,141070,141090
9124556,141060,1,141060,141090
9124679,141060,1,141060,141090
9124682,141060,1,141060,141080
9124706,141070,1,141060,141070
9124706,141080,2,141060,141080
9124710,141080,1,141060,141080
9124809,141080,1,141060,141080
9124815,141080,1,141060,141080
9124821,141080,1,141060,141080
9124836,141060,1,141060,141090
9124842,141060,1,141060,141080
9125101,141070,3,141050,141070
9125115,141080,1,141060,141080
9125140,141090,2,141060,141090
9125140,141100,3,141060,141100
9125144,141080,1,141080,141110
9125189,141090,2,141070,141090
9125199,141100,1,141080,141100
9125232,141110,1,141090,141110
9125242,141090,1,141090,141120
9125458,141110,1,141090,141110
9125471,141120,1,141090,141120
9125494,141130,2,141110,141130
9125498,141130,1,141120,141130
9125758,141110,1,141110,141120
9125758,141100,1,141100,141110
9125758,141110,1,141080,141110
9125763,141080,1,141080,141120
9125792,141110,1,141090,141110
9125958,141110,1,141090,141110
9125960,141120,1,141100,141120
9125967,141110,1,141100,141110
9125971,141120,1,141110,141120
9125982,141130,1,141110,141130
9125990,141120,1,141120,141140
9130138,141110,3,141110,141140
9130138,141110,1,141100,141110
9130138,141100,1,141100,141130
9130138,141110,1,141110,141120
9130145,141080,1,141080,141120
9130161,141070,1,141060,141070
9130164,141080,1,141060,141080
9130177,141080,1,141060,141080
9130387,141100,3,141080,141100
9130396,141080,1,141080,141100
9130469,141100,1,141100,141110
9130469,141110,4,141080,141110
9130667,141090,4,141090,141100
9130673,141080,1,141080,141100
9130695,141100,3,141090,141100
9130876,141090,1,141090,141110
9130876,141080,1,141090,141110
9130969,141100,2,141080,141100
9131059,141090,1,141080,141090
9131062,141080,1,141080,141100
9131139,141090,2,141070,141090
9131251,141100,2,141080,141100
9131251,141120,2,141100,141120
9131253,141110,2,141110,141120
9131253,141100,18,141100,141110
9131264,141080,1,141080,141100
9131264,141070,1,141080,141100
9131563,141070,1,141070,141100
9131564,141090,1,141070,141090
9131564,141100,4,141080,141100
9131566,141120,1,141090,141120
9131567,141100,1,141100,141130
9131576,141100,1,141100,141120
9131970,141090,2,141090,141120
9131970,141080,2,141090,141120
9131970,141070,1,141090,141120
9131970,141050,1,141090,141120
9131970,141040,1,141090,141120
9131970,141090,1,141070,141090
9131976,141070,1,141070,141100
9131981,141070,1,141070,141100
9132052,141090,1,141060,141090
9132052,141090,2,141090,141100
9132052,141100,2,141090,141100
9132052,141090,6,141090,141100
9132052,141100,3,141090,141100
9132053,141090,11,141090,141100
9132055,141070,1,141070,141100
9132063,141070,1,141070,141100
9132063,141060,1,141070,141100
9132063,141050,1,141070,141100
9132069,141070,1,141070,141100
9132260,141070,1,141070,141080
9132287,141070,1,141050,141070
9132294,141050,1,141050,141070
9132352,141090,3,141060,141090
9132354,141090,17,141090,141100
9132354,141090,1,141090,141100
9132362,141070,1,141070,141090
9132362,141050,1,141070,141090
9132440,141050,1,141050,141070
9132519,141070,1,141050,141070
9132808,141080,1,141060,141080
9132809,141090,2,141070,141090
9133116,141070,1,141070,141100
9133153,141070,1,141060,141070
9133156,141070,1,141070,141090
9133328,141090,3,141060,141090
9133444,141090,3,141060,141090
9133479,141070,1,141070,141100
9133516,141060,2,141060,141100
9133564,141060,2,141050,141060
9133567,141060,2,141060,141090
9133567,141050,1,141060,141090
9133654,141090,2,141060,141090
9133654,141090,18,141090,141100
9133654,141090,1,141070,141090
9133654,141100,2,141070,141090
9133662,141070,1,141070,141100
9133662,141060,1,141070,141100
9133662,141050,1,141070,141100
9133730,141050,1,141050,141080
9133833,141070,3,141050,141070
9133871,141040,4,141040,141070
9133871,141030,3,141040,141070
9133878,141030,1,141030,141060
9133954,141050,1,141020,141050
9133956,141050,1,141050,141070
9133959,141060,2,141050,141060
9133959,141070,3,141060,141070
9133959,141070,13,141070,141090
9133968,141040,1,141040,141060
9133968,141020,1,141040,141060
9134050,141030,1,141030,141040
9134082,141030,1,141020,141030
9134176,141050,5,141030,141050
9134179,141050,1,141050,141060
9134254,141060,3,141040,141060
9134254,141070,1,141060,141070
9134255,141070,1,141070,141080
9134255,141060,17,141060,141070
9134255,141050,1,141050,141060
9134260,141040,1,141040,141050
9134266,141030,1,141030,141040
9134266,141020,2,141030,141040
9134391,141030,1,141010,141030
9134427,141020,1,141010,141020
9134428,141030,3,141010,141030
9134428,141040,1,141010,141040
9134428,141050,2,141020,141050
9134428,141060,1,141020,141050
9134428,141060,4,141020,141060
9134428,141060,1,141060,141070
9134428,141050,1,141020,141050
9134505,141040,1,141040,141050
9134513,141030,1,141030,141050
9134555,141050,2,141030,141050
9134555,141050,19,141050,141060
9134560,141030,1,141030,141050
9134560,141020,2,141030,141050
9134708,141040,3,141010,141040
9134838,141030,1,141030,141050
9135024,141050,6,141030,141050
9135025,141070,1,141040,141070
9135027,141080,1,141050,141080
9135027,141090,2,141050,141080
9135027,141100,2,141050,141080
9135031,141070,1,141070,141100
9135034,141070,1,141070,141080
9135041,141050,1,141050,141090
9135162,141080,1,141050,141080
9135162,141090,2,141080,141090
9135162,141080,3,141080,141100
9135169,141060,1,141060,141090
9135235,141060,1,141050,141060
9135270,141080,1,141050,141080
9135273,141060,1,141060,141090
9135291,141060,1,141060,141090
9135291,141050,2,141060,141090
9135291,141050,2,141040,141050
9135437,141050,1,141050,141070
9135442,141070,4,141050,141070
9135448,141050,1,141050,141070
9135480,141080,1,141070,141080
9135679,141070,4,141070,141080
9135723,141090,1,141060,141090
9135723,141090,2,141090,141100
9140004,141050,1,141050,141090
9140057,141090,1,141080,141090
9140230,141100,3,141080,141100
9140247,141110,1,141090,141110
9140282,141090,2,141090,141110
9140282,141080,1,141090,141110
9140394,141100,1,141100,141110
9140397,141090,1,141090,141110
9140412,141100,1,141100,141110
9140415,141110,2,141100,141110
9140416,141110,1,141110,141120
9140420,141110,3,141100,141110
9140429,141110,1,141110,141120
9140512,141100,1,141100,141120
9140512,141100,2,141090,141100
9140557,141120,6,141100,141120
9140560,141110,1,141110,141140
9140668,141130,3,141110,141130
9140673,141120,1,141120,141140
9140713,141130,4,141130,141140
9140713,141130,9,141130,141140
9140881,141130,1,141130,141140
9141189,141140,1,141120,141140
9141189,141140,1,141120,141140
9141216,141130,1,141130,141140
9141428,141140,1,141120,141140
9141652,141130,1,141130,141140
9141655,141120,1,141120,141140
9141700,141140,1,141120,141140
9141711,141140,1,141120,141140
9141953,141150,2,141140,141150
9141967,141160,3,141150,141160
9141970,141160,1,141160,141180
9141970,141180,3,141150,141180
9141978,141150,1,141150,141180
